paper,time_bin,-1,0,1,2,3,4,5,6,7,8,9
The Guardian,2020-01-01,0.2857142857142857,0.0,0.09523809523809523,0.0,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.0,0.047619047619047616
The Guardian,2020-04-01,0.0,0.046511627906976744,0.09302325581395349,0.627906976744186,0.0,0.0,0.023255813953488372,0.11627906976744186,0.09302325581395349,0.0,0.0
The Guardian,2020-07-01,0.0,0.05,0.075,0.35,0.0,0.0,0.475,0.0,0.05,0.0,0.0
The Guardian,2020-10-01,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.125,0.0,0.08333333333333333,0.25,0.0,0.20833333333333334,0.0,0.08333333333333333
The Guardian,2021-01-01,0.02857142857142857,0.6142857142857143,0.07142857142857142,0.04285714285714286,0.02857142857142857,0.014285714285714285,0.05714285714285714,0.0,0.014285714285714285,0.02857142857142857,0.1
The Guardian,2021-04-01,0.027777777777777776,0.19444444444444445,0.08333333333333333,0.16666666666666666,0.19444444444444445,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.19444444444444445,0.0,0.0
The Guardian,2021-07-01,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705
The Guardian,2021-10-01,0.045454545454545456,0.2727272727272727,0.22727272727272727,0.13636363636363635,0.0,0.18181818181818182,0.13636363636363635,0.0,0.0,0.0,0.0
The Guardian,2022-01-01,0.041666666666666664,0.5833333333333334,0.20833333333333334,0.041666666666666664,0.0,0.0,0.125,0.0,0.0,0.0,0.0
The Guardian,2022-04-01,0.10714285714285714,0.39285714285714285,0.10714285714285714,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.0,0.07142857142857142
